id,article_id,flesch_kincaid_grade,flesch_reading_ease,gunning_fog,smog_index,dale_chall,avg_sentence_length,subordinate_clauses,avg_word_length,lexical_density,type_token_ratio,passive_ratio,errors,transitions,subjectivity,formality,complexity,analyzed_at
1,104740230,11.4,50.26,12.25,13.3,9.27,29.4042553191489,0.270833333333333,4.48480463096961,0.388567293777135,0.423299565846599,0.104166666666667,4,4,0.484195469546955,0.0,13.7309408709754,2025-03-22 15:52:02
2,104740231,12.1,48.43,13.45,14.3,9.66,29.3870967741935,0.258064516129032,4.70581778265642,0.481888035126235,0.482985729967069,0.129032258064516,2,1,0.333105384199134,0.0,13.9896616031066,2025-03-22 15:52:03
3,104740236,10.2,64.24,11.54,11.1,10.12,28.5,0.142857142857143,4.28070175438597,0.323308270676692,0.551378446115288,0.0714285714285714,0,0,0.316269841269841,0.0,13.0077694235589,2025-03-22 15:52:03
4,104748230,12.0,48.84,13.57,14.7,9.17,29.1707317073171,0.333333333333333,4.66471571906355,0.407035175879397,0.421404682274248,0.0714285714285714,3,0,0.466603320227173,0.0,13.8592556277322,2025-03-22 15:52:04
5,104748232,9.3,61.16,10.67,12.5,8.45,20.7142857142857,0.277777777777778,4.57793103448276,0.414266117969822,0.441379310344828,0.138888888888889,1,0,0.525707885304659,0.0,10.1428506107518,2025-03-22 15:52:04
6,104748234,10.2,53.51,10.34,12.6,8.4,23.0,0.314285714285714,4.63768115942029,0.425,0.432147562582345,0.142857142857143,1,0,0.4354,0.0,11.2083333333333,2025-03-22 15:52:05
7,104748235,10.0,59.43,11.49,13.0,8.56,24.7,0.303030303030303,4.4251012145749,0.406460296096904,0.462887989203779,0.151515151515152,1,0,0.464419604205318,0.0,11.7021534320323,2025-03-22 15:52:05
8,104748236,10.8,51.99,11.01,12.7,8.37,22.5294117647059,0.323529411764706,4.43211488250653,0.401307189542484,0.428198433420366,0.0588235294117647,0,0,0.505882009923106,0.0,11.2435729847495,2025-03-22 15:52:05
9,104748237,9.2,61.36,9.98,11.9,7.89,21.5102040816327,0.235294117647059,4.33681214421252,0.398865784499055,0.387096774193548,0.156862745098039,3,0,0.491692810457516,0.0,10.3696899553772,2025-03-22 15:52:06
10,104748238,10.8,57.3,12.21,13.3,8.64,24.2162162162162,0.216216216216216,4.47991071428571,0.417877094972067,0.433035714285714,0.0810810810810811,4,0,0.457530032467533,0.0,11.8113644370628,2025-03-22 15:52:06
11,104748240,9.5,60.75,10.32,12.7,7.53,21.9,0.32258064516129,4.30593607305936,0.401826484018265,0.438356164383562,0.0645161290322581,0,0,0.509262626262626,0.0,10.6006088280061,2025-03-22 15:52:07
12,104767230,9.1,56.35,11.0,11.8,10.28,18.7333333333333,0.133333333333333,4.43416370106762,0.392226148409894,0.604982206405694,0.333333333333333,0,0,0.306111111111111,0.00355871886120996,9.40851982724774,2025-03-22 15:52:07
13,104767231,5.6,81.63,8.14,8.4,8.55,18.3684210526316,0.263157894736842,3.76790830945559,0.308571428571429,0.587392550143267,0.105263157894737,1,0,0.402292768959436,0.0,8.09233082706767,2025-03-22 15:52:07
14,104767233,7.3,71.75,8.67,8.6,8.82,24.0555555555556,0.157894736842105,3.95612009237875,0.383371824480369,0.510392609699769,0.0526315789473684,0,0,0.402546296296296,0.0,10.579642460012,2025-03-22 15:52:08
15,104767235,6.8,67.76,8.31,9.3,10.46,19.2142857142857,0.0714285714285714,4.182156133829,0.371747211895911,0.639405204460967,0.214285714285714,0,0,0.327941176470588,0.00371747211895911,8.79534430872721,2025-03-22 15:52:08
16,104788230,11.2,50.77,12.84,13.8,9.25,26.0833333333333,0.25,4.71139510117146,0.44408945686901,0.451544195953142,0.333333333333333,1,0,0.383420268256334,0.0,12.5758075967341,2025-03-22 15:52:08
17,104788231,9.8,60.04,11.54,12.5,8.8,23.15,0.3,4.24190064794816,0.371490280777538,0.485961123110151,0.35,1,0,0.481996495567924,0.0,11.1071634269258,2025-03-22 15:52:09
18,104788232,9.9,54.22,10.63,13.0,9.56,21.0909090909091,0.0769230769230769,4.84698275862069,0.380851063829787,0.506465517241379,0.346153846153846,1,0,0.347865961199295,0.0,10.457253384913,2025-03-22 15:52:09
19,104788233,9.8,70.67,11.93,10.3,8.45,30.3214285714286,0.25,3.99528857479388,0.371158392434988,0.452296819787986,0.142857142857143,0,0,0.403597817707407,0.00235571260306243,13.4975289879545,2025-03-22 15:52:09
20,104788234,9.8,54.63,12.1,12.6,9.64,22.7777777777778,0.333333333333333,4.49756097560976,0.419512195121951,0.629268292682927,0.444444444444444,0,0,0.315079365079365,0.0,10.9990966576332,2025-03-22 15:52:10
21,104788235,9.8,54.42,11.21,12.5,9.07,21.4090909090909,0.260869565217391,4.76645435244161,0.391489361702128,0.494692144373673,0.478260869565217,1,0,0.363095238095238,0.0,10.533526756931,2025-03-22 15:52:10
22,104788239,6.8,73.07,8.84,9.9,9.79,16.9411764705882,0.363636363636364,4.23611111111111,0.396551724137931,0.600694444444444,0.545454545454545,0,0,0.301449275362319,0.0,8.04590939824206,2025-03-22 15:52:10
23,104800232,10.4,53.0,11.92,12.8,9.97,20.2413793103448,0.275862068965517,4.45144804088586,0.380952380952381,0.534923339011925,0.275862068965517,4,1,0.42282196969697,0.00340715502555366,10.3407772304324,2025-03-22 15:52:11
24,104800233,7.7,76.25,9.78,9.8,8.35,23.24,0.24,4.04302925989673,0.406196213425129,0.497418244406196,0.08,0,0,0.376236529428019,0.00172117039586919,10.4487320711417,2025-03-22 15:52:11
